CBO Long-term Budget Outlook Extended Baseline forecasts of Federal Debt Held By the Public as a Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar,Source: June 2009 CBO long-term budget outlook data (51119-2009-06-ltbosuppdata.xls),,Source: June 2010 CBO long-term budget outlook data (51119-2010-06-ltbosuppdata.xls),,Source: June 2011 CBO long-term budget outlook data (51119-2011-06-ltbosuppdata.xls),,Source: June 2012 CBO long-term budget outlook data (51119-2012-06-longtermbudgetprojections.xls),,Source: September 2013 CBO long-term budget outlook data (51119-2013-09-longtermbudgetprojections.xls),,Source: July 2014 CBO long-term budget outlook data (51119-2014-07-longtermbudgetprojections.xls),,Source: June 2015 CBO long-term budget outlook data (51119-2015-06-longtermbudgetprojections.xls),,Source: July 2016 CBO long-term budget outlook data (51119-2016-07-ltbo-4.xls),,Source: January 2017 CBO Long-term Budget Outlook data (51134-2017-01-historicalbudgetdata.xls and 51119-2017-01-ltbo-2.xls),,Source: March 2017 CBO Long-term Budget Outlook data (51119-2017-03-ltbo_1.xls),,Source: June 2018 CBO Long-term Budget Outlook data (51119-2018-06-ltbo.xls),,Source: January 2019 CBO Long-term Budget Outlook data (51134-2019-01-historicalbudgetdata.xls and 51119-2019-01-ltbo.xls),,Source: June 2019 CBO Long-term Budget Outlook data (51119-2019-06-ltbo.xls),,Source: January 2020 CBO Budget and Economic Outlook: 2020 to 2030 data (51134-2020-01-historicalbudgetdata.xls and 51119-2020-01-ltbo.xls),,Source: September 2020 CBO long-term budget outlook data (56516-LTBO-Data-Underlying-Figures.xls and 51119-2020-09-ltbo_0.xls),,Source: March 2021 CBO long-term budget outlook data (56977-Data-Underlying-Figures.xls and 51119-2021-03-LTBO.xls),
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extended Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1790,,,,,,,,,30,0,30,0,30,0,30,0,,,30,0,30,0,,,30,0,,,,,,
1791,,,,,,,,,29,0,29,0,29,0,29,0,,,29,0,29,0,,,29,0,,,,,,
1792,,,,,,,,,28,0,28,0,28,0,28,0,,,28,0,28,0,,,28,0,,,,,,
1793,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1794,,,,,,,,,22,0,22,0,22,0,22,0,,,22,0,22,0,,,22,0,,,,,,
1795,,,,,,,,,19,0,19,0,19,0,19,0,,,19,0,19,0,,,19,0,,,,,,
1796,,,,,,,,,16,0,16,0,16,0,16,0,,,16,0,16,0,,,16,0,,,,,,
1797,,,,,,,,,17,0,17,0,17,0,17,0,,,17,0,17,0,,,17,0,,,,,,
1798,,,,,,,,,16,0,16,0,16,0,16,0,,,16,0,16,0,,,16,0,,,,,,
1799,,,,,,,,,16,0,16,0,16,0,16,0,,,16,0,16,0,,,16,0,,,,,,
1800,,,,,,,,,15,0,15,0,15,0,15,0,,,15,0,15,0,,,15,0,,,,,,
1801,,,,,,,,,13,0,13,0,13,0,13,0,,,13,0,13,0,,,13,0,,,,,,
1802,,,,,,,,,14,0,14,0,14,0,14,0,,,14,0,14,0,,,14,0,,,,,,
1803,,,,,,,,,14,0,14,0,14,0,14,0,,,14,0,14,0,,,14,0,,,,,,
1804,,,,,,,,,13,0,13,0,13,0,13,0,,,13,0,13,0,,,13,0,,,,,,
1805,,,,,,,,,11,0,11,0,11,0,11,0,,,11,0,11,0,,,11,0,,,,,,
1806,,,,,,,,,10,0,10,0,10,0,10,0,,,10,0,10,0,,,10,0,,,,,,
1807,,,,,,,,,10,0,10,0,10,0,10,0,,,10,0,10,0,,,10,0,,,,,,
1808,,,,,,,,,9,0,9,0,9,0,9,0,,,9,0,9,0,,,9,0,,,,,,
1809,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,,,,
1810,,,,,,,,,6,0,6,0,6,0,6,0,,,6,0,6,0,,,6,0,,,,,,
1811,,,,,,,,,6,0,6,0,6,0,6,0,,,6,0,6,0,,,6,0,,,,,,
