Congressional session dates (source: https://history.house.gov/Institution/Session-Dates/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Def: Caledar days is defined as the total number of calendar days from the convening date to the adjournment date that Congress met during that session.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Def: Legislative days indicates the total days Congress recorded as a working parliamentary day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
congress_number,congress_session,beginning_date,adjournment_date,calendar_days,legislative_days,house_recess1_beg,house_recess1_end,house_recess2_beg,house_recess2_end,house_recess3_beg,house_recess3_end,house_recess4_beg,house_recess4_end,house_recess5_beg,house_recess5_end,house_recess6_beg,house_recess6_end,house_recess7_beg,house_recess7_end,house_recess8_beg,house_recess8_end,house_recess9_beg,house_recess9_end,house_recess10_beg,house_recess10_end,house_recess11_beg,house_recess11_end,adjourn_sin_die,dem_senateseats,rep_senateseats,other_senateseats,dem_senate_maj,total_senateseats
70,1,1927-12-05,1928-05-29,135,134,1927-12-22,1928-01-03,,,,,,,,,,,,,,,,,,,,,,46,48,1,0,95
70,2,1928-12-03,1929-03-04,67,65,1928-12-23,1929-01-02,,,,,,,,,,,,,,,,,,,,,,46,48,1,0,95
71,1,1929-04-15,1929-11-22,67,67,1929-06-20,1929-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,1929-12-02,1930-07-03,156,156,1929-12-22,1930-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,1930-12-01,1931-03-04,67,66,1930-12-21,1931-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,1931-12-07,1932-07-16,167,167,1931-12-23,1932-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,1932-12-05,1933-03-04,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,1933-03-09,1933-06-16,71,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,1934-01-03,1934-06-18,125,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1935-01-03,1935-08-26,168,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,1936-01-03,1936-06-20,115,114,1936-06-09,1936-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,
