,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product (FYFSGDA188S),Federal receipts as percent of gross domestic product (FYFRGDA1885),"Federal Outlays: Interest as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted (FYOIGDA188S)","Federal Outlays: Non-interest Outlays as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted","Federal Net Outlays: Net (Total) Outlays as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted (FYONGDA188S)",,,Congress Number,Congress Session,Democrat President in Whitehouse for majority of year,Democrat held Senate seats for majority of year,Republican held Senate seats for majority of year,Other party held Senate seats for majority of year,,Total Senate seats,Democrat held House seats for majority of year,Republican held House seats for majority of year,Other party held House seats for majority of year,,Total House seats
,Source: Federal Reserve Economic Data (FRED) Federal Reserve Bank of St. Louis (FYFSGDA188S).,Source: Federal Reserve Economic Data (FRED) Federal Reserve Bank of St. Louis (FYFRGDA188S).,Source: Federal Reserve Economic Data (FRED) Federal Reserve Bank of St. Louis (FYOIDA188S).,Source: For past data (1940-2020) this value is computed as the difference between spend_tot_gdp and spend_int_gdp.,Source: Federal Reserve Economic Data (FRED) Federal Reserve Bank of St. Louis (FYONDA188S).,,,Source: Congress number and session are mapped to a given year if the session's start and end data cover a majority of that year or if that session has more days in a given year than any other session as listed in the House of Representatives Session dates https://history.house.gov/Institution/Session-Dates/Session-Dates/.,Source: Congress number and session are mapped to a given year if the session's start and end data cover a majority of that year or if that session has more days in a given year than any other session as listed in the House of Representatives Session dates https://history.house.gov/Institution/Session-Dates/Session-Dates/.,"Source: ""List of presidents of the United States, https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States","Source: United States Senate, Art & History, Party Division, https://www.cop.senate.gov/history/partydiv.htm. Congressional session dates are mapped to particular years if the dates cover the majority of a year given the description here https://history.house.gov/Institution/Session-Dates/70-79/.","Source: United States Senate, Art & History, Party Division, https://www.cop.senate.gov/history/partydiv.htm. Congressional session dates are mapped to particular years if the dates cover the majority of a year given the description here https://history.house.gov/Institution/Session-Dates/70-79/.","Source: United States Senate, Art & History, Party Division, https://www.cop.senate.gov/history/partydiv.htm. Congressional session dates are mapped to particular years if the dates cover the majority of a year given the description here https://history.house.gov/Institution/Session-Dates/70-79/.",,"Source: United States Senate, Art & History, Party Division, https://www.cop.senate.gov/history/partydiv.htm. Congressional session dates are mapped to particular years if the dates cover the majority of a year given the description here https://history.house.gov/Institution/Session-Dates/70-79/.","Source: United States House of Representatives, History, Art, & Archives, ""Party Divisions of the House of Representatives, 1789 to present, https://history.house.gov/Institution/Party-Divisions/Party-Divisions/","Source: United States House of Representatives, History, Art, & Archives, ""Party Divisions of the House of Representatives, 1789 to present, https://history.house.gov/Institution/Party-Divisions/Party-Divisions/","Source: United States House of Representatives, History, Art, & Archives, ""Party Divisions of the House of Representatives, 1789 to present, https://history.house.gov/Institution/Party-Divisions/Party-Divisions/",,"Source: United States House of Representatives, History, Art, & Archives, ""Party Divisions of the House of Representatives, 1789 to present, https://history.house.gov/Institution/Party-Divisions/Party-Divisions/"
,,,,,,,,,,,,,,,,,,,,
year,deficit_gdp,receipts_gdp,spend_int_gdp,spend_nonint_gdp,spend_tot_gdp,president,president_party,congress_number,congress_session,dem_whitehouse,dem_senateseats,rep_senateseats,other_senateseats,dem_senate_maj,total_senateseats,dem_houseseats,rep_houseseats,other_houseseats,dem_house_maj,total_houseseats
1929,0.70202,3.69371,,,2.99074,Hoover,Republican,71,1,0,39,56,1,0,96,164,270,1,0,435
1930,0.80078,4.40321,,,3.60243,Hoover,Republican,71,2,0,39,56,1,0,96,164,270,1,0,435
1931,-0.59697,4.02631,,,4.62198,Hoover,Republican,71,3,0,39,56,1,0,96,164,270,1,0,435
1932,-4.59494,3.23242,,,7.82736,Hoover,Republican,72,1,0,47,48,1,0,96,216,218,1,0,435
1933,-4.55261,3.49407,,,8.04493,Roosevelt2,Democrat,73,1,1,59,36,1,1,96,313,117,5,1,435
1934,-5.36826,4.42365,,,9.79192,Roosevelt2,Democrat,73,2,1,59,36,1,1,96,313,117,5,1,435
1935,-3.77554,4.8612,,,8.63674,Roosevelt2,Democrat,74,1,1,69,25,2,1,96,322,103,10,1,435
1936,-5.07368,4.62454,,,9.6994,Roosevelt2,Democrat,74,2,1,69,25,2,1,96,322,103,10,1,435
