"OG-USA data from simulations for ""U.S. Debt, Deficits, and Strategies for Stabilization""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,Y_base,C_base,K_base,L_base,D_base,Y_ref_G033,C_ref_G033,K_ref_G033,L_ref_G033,D_ref_G033,Y_ref_T340,C_ref_T340,K_ref_T340,L_ref_T340,D_ref_T340
2021,0.688609382,0.47882247,2.116687499,0.376161738,0.68860893,0.688194817,0.479078068,2.116435523,0.375837376,0.68860893,0.684547222,0.465085483,2.110516256,0.373339832,0.68860893
2022,0.6940754,0.476857678,2.143805192,0.378163909,0.791804945,0.694632211,0.492379895,2.149188728,0.378119652,0.780120181,0.694013324,0.551131764,2.145828986,0.377919962,0.782527051
2023,0.695791655,0.473453136,2.141016824,0.379869942,0.801157277,0.695268251,0.477635391,2.138845598,0.379637766,0.777514295,0.685500235,0.487857687,2.071687031,0.37790004,0.775828461
2024,0.696726586,0.470942014,2.142913473,0.380474005,0.81326287,0.696543613,0.472454315,2.142910997,0.380320559,0.777748823,0.684395758,0.466010102,2.052483984,0.37885877,0.773241534
2025,0.697665789,0.468737259,2.148298166,0.38074834,0.826990839,0.698126817,0.46936748,2.152965186,0.380690431,0.779510219,0.685682947,0.458218218,2.053258782,0.379878212,0.771678202
2026,0.638814497,0.463383791,2.120268213,0.334832959,0.840360559,0.64022533,0.463016917,2.130790629,0.335076858,0.780780199,0.613347219,0.442020864,2.01839788,0.322969164,0.772196829
2027,0.636505808,0.459041638,2.088368276,0.33570205,0.848749708,0.63866002,0.4588631,2.105261708,0.335990736,0.778253895,0.611273026,0.438688577,1.985614215,0.324135773,0.762993904
2028,0.634230113,0.455648612,2.060696266,0.336263701,0.857652711,0.637129825,0.455741611,2.08400061,0.336587494,0.77613149,0.609218795,0.433558887,1.95783626,0.324916785,0.758351724
2029,0.632311104,0.452881726,2.037445511,0.336750721,0.868339671,0.635952559,0.453285956,2.067149535,0.33710144,0.775620698,0.607646288,0.430175417,1.936029686,0.325584948,0.755179544
2030,0.63052977,0.450669457,2.016970431,0.337120563,0.879728559,0.634907646,0.451383344,2.053027286,0.33749299,0.775650825,0.605973791,0.426584445,1.917716082,0.325870552,0.753145468
2031,0.628802694,0.448837673,1.998427621,0.337374426,0.891185139,0.633913587,0.449865653,2.040798653,0.337765032,0.775578227,0.604926953,0.424614856,1.902829631,0.326371331,0.751239587
2032,0.627232884,0.447353016,1.981938687,0.337581975,0.903594039,0.633075594,0.448687722,2.030593089,0.337989342,0.776256519,0.604034844,0.423099788,1.890402203,0.326781897,0.750118272
2033,0.625778091,0.44614024,1.96703459,0.337747913,0.916792648,0.632354225,0.447772593,2.021953421,0.33817238,0.777512748,0.603271903,0.421915889,1.879873325,0.32712929,0.749603406
2034,0.624253201,0.445074038,1.952920576,0.3377896,0.930506234,0.631564736,0.446994185,2.01408329,0.338232431,0.779096737,0.6024602,0.420930073,1.870423744,0.327339251,0.749462884
2035,0.622766943,0.444165516,1.93969553,0.337786556,0.944945411,0.630818858,0.446364409,2.007101679,0.338249797,0.781188006,0.601705317,0.420138589,1.862096763,0.327494171,0.749860549
2036,0.621354152,0.443384091,1.927197757,0.337781817,0.960029209,0.630156078,0.445850941,2.000863078,0.338269637,0.783691839,0.601025767,0.419485095,1.854697025,0.327626878,0.750709495
2037,0.620003861,0.442709734,1.915259499,0.337781298,0.97558239,0.629567999,0.44543571,1.995218399,0.338298213,0.786415887,0.600423623,0.4189481,1.848054234,0.327754523,0.751833728
2038,0.618707409,0.442126218,1.903759993,0.337788692,0.991492993,0.629048703,0.445103975,1.990064681,0.338339777,0.789229852,0.599891587,0.41850682,1.842038096,0.327882889,0.753085011
2039,0.617396013,0.441611956,1.89255776,0.337759307,1.007695673,0.628532291,0.444832448,1.985279128,0.338350831,0.792051962,0.599350381,0.418133903,1.836502964,0.327958832,0.754381212
2040,0.616089308,0.441158388,1.881593701,0.337714901,1.024247294,0.628039654,0.444617387,1.980819373,0.338352342,0.79492171,0.598857238,0.417821136,1.831407426,0.328034097,0.755754077
2041,0.614805056,0.440755333,1.870779632,0.337678745,1.041081756,0.627593454,0.444445587,1.976614021,0.338369542,0.797755634,0.598419386,0.417553686,1.826682263,0.328121241,0.757119242
2042,0.613550199,0.440396152,1.860097259,0.337658427,1.058275856,0.627205095,0.444309465,1.972667703,0.338411407,0.800608624,0.598028849,0.41732973,1.822318884,0.328214194,0.7585274
2043,0.612319523,0.440075227,1.849519927,0.337652136,1.075856096,0.626874104,0.444202888,1.968980054,0.338477536,0.803482917,0.59770045,0.417143041,1.818303208,0.328326695,0.759969951
2044,0.611038669,0.439776519,1.838921891,0.337609101,1.093832581,0.626529532,0.444108548,1.965448462,0.338518432,0.806375579,0.597355218,0.416972957,1.81452469,0.328402616,0.761439572
2045,0.609697591,0.439503839,1.828304002,0.337520505,1.11240646,0.626166191,0.444028927,1.962104401,0.338526737,0.809466357,0.597012007,0.416825578,1.811012481,0.328454857,0.763096572
2046,0.608338138,0.439258481,1.81759971,0.337428499,1.131555158,0.625834403,0.443962824,1.95891442,0.338547327,0.812710363,0.59668115,0.41669527,1.807710028,0.32849755,0.764882873
2047,0.606971278,0.43904949,1.806876292,0.337335801,1.151406146,0.625554567,0.443916442,1.955997117,0.338586106,0.816185125,0.596405204,0.416588667,1.804718842,0.328556713,0.766867505
2048,0.605577323,0.438851097,1.795931577,0.337246062,1.171869019,0.62531829,0.443856621,1.953186365,0.338651572,0.819801657,0.596185504,0.416467122,1.801886495,0.328648398,0.768959611
2049,0.604121652,0.4386804,1.784698693,0.337136622,1.192899704,0.625104531,0.443793306,1.950478229,0.338726531,0.823479863,0.595969367,0.416345814,1.79920095,0.328729054,0.771093167
2050,0.602571423,0.4385536,1.773121683,0.336985192,1.214589162,0.624898519,0.443731933,1.947895427,0.338796522,0.827274411,0.595797418,0.416231438,1.796709016,0.32882849,0.773351759
2051,0.601872596,0.43845057,1.767294246,0.33698148,1.225696571,0.624627806,0.443673725,1.944916158,0.338850034,0.832032925,0.595558587,0.416123801,1.793952896,0.328897651,0.776449391
2052,0.601262486,0.438366481,1.762244871,0.336975334,1.235539403,0.624392169,0.443619235,1.942319195,0.338897245,0.836277674,0.595343882,0.416021781,1.791542521,0.328953474,0.779205
2053,0.600746236,0.438297291,1.757937873,0.336974435,1.244263645,0.624203329,0.443567995,1.940126464,0.338945768,0.840064946,0.595182287,0.415928094,1.789489377,0.329019344,0.781656047
2054,0.600285722,0.438236705,1.754327556,0.336950249,1.252001818,0.624027157,0.443516449,1.938341661,0.338966643,0.843447042,0.595000908,0.41583723,1.787775458,0.329034954,0.783840159
2055,0.599900035,0.438179542,1.751438872,0.336916366,1.258864803,0.623887591,0.443461597,1.937032946,0.338973356,0.846466254,0.594865796,0.415746523,1.786482034,0.329048332,0.78578136
2056,0.599588196,0.438120787,1.749175004,0.336881746,1.264956588,0.623788847,0.443399968,1.936140079,0.338975039,0.849163995,0.594765827,0.41565218,1.785558348,0.329054984,0.787510189
2057,0.599344625,0.438062096,1.747447609,0.336850585,1.270370549,0.623730078,0.443334773,1.93560599,0.338976321,0.851578131,0.59468908,0.415553685,1.784954242,0.329049694,0.789052628
2058,0.599154673,0.438002806,1.74612097,0.336824226,1.275189495,0.623701418,0.44326619,1.935322059,0.338979185,0.853742618,0.594648982,0.415453056,1.784576591,0.329053119,0.790430455
2059,0.598987906,0.437943704,1.745099394,0.336786234,1.279484732,0.623674995,0.443195894,1.93521432,0.33896729,0.855686638,0.594605318,0.41535258,1.784363763,0.32903713,0.791665078
2060,0.598842806,0.437888572,1.744342135,0.336739505,1.283313735,0.623651936,0.443128523,1.935259489,0.338943773,0.857432553,0.594574876,0.415256965,1.78430755,0.329016832,0.792770339
2061,0.598701848,0.437836769,1.743737355,0.336680493,1.286727901,0.623617656,0.443063644,1.93536139,0.338905519,0.859000646,0.594538059,0.41516672,1.7843221,0.328984072,0.79376096
2062,0.598573289,0.437793065,1.743272084,0.336617681,1.28976963,0.62358265,0.443006365,1.935519974,0.338861306,0.860407128,0.594499352,0.41508545,1.784412004,0.32894221,0.794647546
2063,0.598476249,0.437763478,1.742964194,0.336565755,1.292478896,0.623567966,0.442963123,1.93576434,0.338825989,0.861668061,0.594483783,0.415019971,1.784594964,0.328910799,0.795440246
2064,0.598379846,0.437748783,1.742799271,0.3364995,1.294895883,0.623542786,0.442934996,1.936089849,0.338774253,0.862800846,0.594462009,0.414971622,1.784863304,0.328865632,0.796151574
2065,0.598284708,0.437747034,1.742793403,0.336417797,1.297049962,0.623508634,0.442920177,1.936521119,0.338705064,0.863816828,0.594435971,0.414937769,1.785243993,0.328805695,0.796788831
2066,0.598186041,0.437757996,1.742873938,0.336324059,1.298967705,0.623462498,0.442918375,1.936992098,0.338622139,0.864726433,0.594395204,0.414916885,1.785665138,0.328729228,0.797358849
2067,0.598086655,0.437787105,1.743013638,0.336223554,1.30067197,0.623408344,0.44293553,1.937479792,0.338530961,0.865538622,0.594348164,0.414913637,1.786103636,0.328645719,0.797866364
2068,0.597976532,0.43783404,1.743199084,0.336109026,1.302183948,0.6233366,0.442971586,1.937975181,0.338424396,0.866262014,0.594286706,0.414928499,1.786552721,0.328548924,0.79831678
2069,0.597865349,0.437896292,1.743416591,0.335990279,1.303520508,0.623258118,0.443024195,1.938468166,0.338312469,0.866903027,0.594216676,0.41496145,1.787008367,0.328444224,0.798713862
2070,0.597762398,0.43797202,1.743664901,0.335875485,1.304698957,0.623183042,0.443091616,1.938960286,0.338203512,0.867468955,0.594161763,0.415011686,1.787487478,0.328350097,0.799061785
2071,0.59766047,0.438053359,1.743887919,0.335764236,1.305736917,0.62310546,0.4431654,1.939399699,0.338097459,0.867967784,0.59411001,0.415071046,1.787952301,0.328260113,0.799367506
2072,0.597559209,0.438139412,1.744080037,0.335656794,1.306648659,0.623025774,0.44324427,1.939784717,0.337994792,0.868405871,0.594050932,0.415138184,1.788391962,0.328166426,0.799635671
2073,0.59746808,0.438234819,1.744275886,0.335557737,1.307446953,0.622953664,0.443332981,1.940152147,0.337900124,0.868788995,0.594006164,0.415217904,1.788831565,0.328084933,0.799869046
2074,0.597382163,0.438342563,1.744464689,0.335463933,1.308145372,0.622884138,0.443434758,1.940491618,0.337810259,0.869123714,0.593965435,0.415311796,1.789248087,0.328009179,0.800073042
2075,0.597305344,0.438460089,1.744682421,0.335375016,1.308755051,0.622820694,0.443547372,1.940840085,0.337724652,0.86941523,0.593921699,0.415417129,1.789665167,0.327930843,0.800251143
2076,0.597238918,0.438578762,1.744889736,0.335296182,1.309286864,0.622765809,0.443661765,1.941160736,0.337648821,0.869668715,0.593881658,0.415524996,1.790042646,0.327859587,0.800405531
2077,0.597188143,0.438700242,1.745097519,0.335230832,1.309750883,0.62272486,0.443779893,1.94146536,0.337586133,0.869889168,0.593855977,0.415636252,1.79039094,0.327803426,0.800539076
2078,0.597144558,0.43881941,1.745271409,0.335175216,1.310157329,0.622689848,0.443896504,1.941721528,0.337532954,0.870081844,0.593837955,0.415746626,1.790685492,0.327759088,0.800655801
2079,0.597118892,0.438934118,1.745425286,0.335137155,1.310513541,0.62267215,0.444009384,1.941945193,0.33749727,0.87025035,0.593825973,0.415854734,1.790943117,0.327723532,0.80075842
2080,0.597113332,0.439043113,1.745586453,0.33511571,1.310828483,0.622673722,0.44411743,1.942164953,0.33747803,0.870399527,0.593833394,0.415959093,1.791195112,0.327705016,0.800849158
2081,0.597107907,0.439138003,1.745700941,0.33509922,1.311110705,0.622674915,0.44421162,1.942329412,0.33746366,0.870534006,0.593845918,0.416050622,1.791394607,0.327696019,0.800931824
2082,0.597101216,0.439220896,1.745792432,0.335084012,1.311363506,0.622673894,0.444294187,1.942463152,0.337450321,0.8706552,0.593849124,0.416131063,1.791556481,0.327682818,0.801007911
2083,0.597107965,0.439291319,1.745872335,0.335081608,1.31158955,0.62268618,0.444364548,1.942578856,0.337449767,0.87076413,0.593860561,0.416199591,1.791690876,0.327679316,0.801076821
2084,0.597117925,0.439349103,1.745938117,0.335083434,1.311794471,0.622701299,0.444422399,1.942675511,0.337453356,0.870863884,0.593877204,0.416255726,1.79179724,0.327682993,0.801140381
2085,0.597137013,0.439396999,1.746026884,0.335090762,1.311981086,0.622724793,0.444470785,1.942790786,0.337462185,0.870955776,0.593900868,0.416302544,1.791914108,0.327691594,0.801199829
2086,0.597159305,0.439431584,1.746102954,0.33510217,1.312153235,0.622751326,0.444505967,1.942890632,0.337474993,0.871041766,0.593924554,0.416337617,1.792014572,0.327701832,0.801256524
2087,0.597185341,0.439455368,1.746159637,0.335118811,1.31231307,0.622781792,0.444530344,1.942969493,0.337493041,0.871122869,0.593953802,0.416362904,1.792101001,0.327718171,0.801310745
2088,0.597212067,0.439471154,1.746218286,0.335135838,1.312462646,0.622812599,0.444546831,1.943049094,0.3375113,0.871200124,0.593982682,0.416380816,1.792188694,0.327734069,0.801363491
2089,0.59723897,0.439479162,1.746288842,0.335151788,1.312603141,0.622843024,0.444555672,1.943139728,0.337528207,0.871273964,0.594010302,0.416391677,1.792283552,0.327748191,0.801414858
2090,0.597272019,0.439479322,1.746384042,0.335170495,1.312735503,0.622879109,0.444556858,1.943254176,0.337547605,0.871344678,0.594041687,0.416395392,1.792394268,0.327763947,0.801464816
2091,0.597304429,0.43946845,1.746481296,0.335188439,1.312861897,0.622914248,0.444546899,1.943370649,0.337566025,0.87141337,0.594070551,0.416387982,1.792498732,0.32777818,0.801514013
2092,0.597331324,0.439447428,1.74657086,0.335202413,1.31298278,0.62294357,0.444526516,1.943479854,0.337580273,0.87148011,0.594092392,0.416370026,1.79258628,0.327788115,0.801562185
2093,0.597351755,0.43941966,1.746649053,0.335211976,1.31309749,0.622966196,0.444499091,1.943578086,0.337589961,0.871544279,0.594107209,0.416344706,1.792657207,0.327793718,0.801608487
2094,0.597368596,0.439389335,1.746718603,0.335219326,1.313205223,0.622985104,0.444468936,1.94366769,0.337597349,0.871605198,0.59411875,0.416316165,1.792717384,0.327797593,0.801652158
2095,0.597379915,0.439358232,1.746775836,0.335223178,1.313305888,0.622998307,0.444437833,1.943744699,0.337601155,0.871662672,0.594125713,0.416286189,1.792766127,0.327798705,0.801693019
2096,0.597385093,0.439328019,1.74681738,0.335223348,1.313398977,0.623005209,0.444407445,1.943805417,0.337601229,0.871716247,0.594127985,0.416256439,1.792802801,0.327797019,0.801730735
2097,0.597386572,0.439300795,1.746847545,0.335221497,1.313483898,0.623008276,0.444379952,1.943853685,0.337599266,0.87176543,0.594128214,0.416229081,1.792832637,0.327794271,0.801764985
2098,0.597384814,0.439277143,1.746866346,0.335218026,1.313560654,0.623007967,0.44435597,1.943889215,0.337595681,0.871810125,0.594126798,0.416204827,1.792855329,0.327790828,0.801795843
2099,0.597380464,0.439257067,1.74687585,0.335213279,1.313629349,0.623004911,0.444335503,1.943913847,0.337590823,0.871850308,0.594124117,0.416183792,1.792872348,0.327786869,0.801823424
2100,0.597375889,0.439240817,1.746884586,0.335208418,1.31369022,0.623001392,0.444318887,1.943935805,0.33758583,0.871886046,0.594122183,0.416166391,1.792891135,0.327783371,0.801847886
2101,0.597367882,0.439226269,1.746873932,0.335202601,1.313743998,0.622994476,0.444303807,1.94393681,0.337579968,0.871917718,0.594118052,0.416150517,1.792894682,0.327779511,0.801869641
2102,0.597353391,0.439214623,1.746837622,0.335193837,1.313790638,0.622981121,0.444291392,1.943910799,0.337571262,0.871945254,0.594108622,0.416137293,1.792876952,0.327773246,0.801888664
2103,0.597336566,0.439209143,1.746796662,0.335183537,1.313829427,0.622965239,0.444285121,1.943878344,0.33756105,0.871968168,0.594097415,0.416130045,1.792856423,0.327765747,0.801904512
