CBO baseline budget data and projections,,,,,,,,,,,,,,,,,,,,,,
"Outlays, mandatory, discretionary, and net interest",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Historical data source: Historical Data from CBO February 2021 ""The Budget and Economic Outlook: 2021 to 2031""",,,,,,,,,,,,,,,,,,,,,,
"Forecast data source: 2021-2031 data come from CBO's July 2021 report ""Additional Information About the Updated Budget and Economic Outlook: 2021 to 2031""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Outlays, in billions of 2020 dollars",,,,,,,,"Outlays, in percent of GDP",,,,,,,,,,,,,
,,,,,,Mandatory,Mandatory,,,,,,,,,,,,,,,
,,,,,,Outlays,Outlays,,,,,,,,,,,,,,,
,,,,,,as percent of,as percent of,,,,,,,,,,,,,,,
,,,,,,Total Non-interest,Total,,,,,,,,,,,,,,,
Year,Mandatory,Discretionary,Net Interest,Total Non-interest Outlays,Total Outlays,Outlays,Outlays,,Mandatory,Discretionary,Net Interest,Total Non-interest Outlays,Total Outlays,,,,,,,,,
1962,27.857,72.075,6.889,99.932,106.821,0.278759556,0.260782056,,4.757,12.306,1.176,17.063,18.239,,,,,,,,,
1963,28.282,75.294,7.74,103.576,111.316,0.273055534,0.254069496,,4.575,12.18,1.252,16.755,18.007,,,,,,,,,
1964,31.193,79.136,8.199,110.329,118.528,0.282727116,0.263169884,,4.714,11.959,1.239,16.673,17.912,,,,,,,,,
1965,31.844,77.793,8.591,109.637,118.228,0.290449392,0.269343979,,4.489,10.967,1.211,15.456,16.667,,,,,,,,,
1966,35.003,90.143,9.386,125.146,134.532,0.279697314,0.260183451,,4.485,11.55,1.203,16.035,17.238,,,,,,,,,
1967,40.723,106.473,10.268,147.196,157.464,0.276658333,0.258617843,,4.868,12.728,1.227,17.596,18.823,,,,,,,,,
1968,49.066,117.978,11.09,167.044,178.134,0.293730993,0.275444328,,5.467,13.144,1.236,18.611,19.847,,,,,,,,,
1969,53.623,117.318,12.699,170.941,183.64,0.313693029,0.292000653,,5.47,11.968,1.295,17.438,18.733,,,,,,,,,
1970,61.015,120.254,14.38,181.269,195.649,0.336599198,0.311859503,,5.829,11.489,1.374,17.318,18.692,,,,,,,,,
1971,72.8,122.531,14.841,195.331,210.172,0.372700698,0.346382963,,6.52,10.974,1.329,17.494,18.823,,,,,,,,,
1972,86.659,128.544,15.478,215.203,230.681,0.402684907,0.375665963,,7.125,10.569,1.273,17.694,18.967,,,,,,,,,
1973,97.964,130.394,17.349,228.358,245.707,0.428993072,0.39870252,,7.242,9.639,1.283,16.881,18.164,,,,,,,,,
1974,109.703,138.207,21.449,247.91,269.359,0.442511395,0.407274307,,7.398,9.32,1.446,16.718,18.164,,,,,,,,,
1975,151.123,157.965,23.244,309.088,332.332,0.488931955,0.454735024,,9.404,9.83,1.446,19.234,20.68,,,,,,,,,
1976,169.488,175.577,26.727,345.065,371.792,0.491177025,0.455867797,,9.489,9.83,1.496,19.319,20.815,,,,,,,,,
1977,182.244,197.073,29.901,379.317,409.218,0.480453025,0.445346979,,9.002,9.735,1.477,18.737,20.214,,,,,,,,,
1978,204.578,218.71,35.458,423.288,458.746,0.483306874,0.445950482,,8.999,9.62,1.56,18.619,20.179,,,,,,,,,
1979,221.397,239.998,42.633,461.395,504.028,0.479842651,0.439255359,,8.63,9.355,1.662,17.985,19.647,,,,,,,,,
1980,262.084,276.324,52.533,538.408,590.941,0.486775828,0.44350282,,9.387,9.897,1.882,19.284,21.166,,,,,,,,,
